id,species,plant,purpose,annotations,sources
1,Passer domesticus,Acer sp.,Nahrung (Knospen),,
2,Passer domesticus,Acer campestre,Schutzgehölz,,
3,Passer domesticus,Alliaria petiolata,Nahrung (Samen),,
4,Passer domesticus,Amaranthus retroflexus,Nahrung (Samen),invasiver Neophyt,
5,Passer domesticus,Amaranthus blitoides,Nahrung (Samen),Neophyt,
6,Passer domesticus,Amelanchier sp.,"Nahrung (Beeren, Insekten)",guter Beerenlieferant,
7,Passer domesticus,Anagallis arvensis,Nahrung (Pflanzenteile),,
8,Passer domesticus,Artemisia vulgaris,Nahrung (Samen),wichtiger Samenlieferant,
9,Passer domesticus,Berberis vulgaris,Schutzgehölz,sehr gutes Schutzgehölz (Stacheln),
10,Passer domesticus,Betula pubescens,Nahrung (Samen),,
11,Passer domesticus,Betula pendula,"Nahrung (Samen, Insekten)",,
12,Passer domesticus,Brassica oleracea,Nahrung (Pflanzenteile),,
13,Passer domesticus,Carpinus betulus,Schutzgehölz,gutes Schutzgehölz (dichter Wuchs),
14,Passer domesticus,Centaurea sp.,"Nahrung (Samen, Insekten)","gute Insektenquelle, geringe Bedeutung als Samenlieferant",
15,Passer domesticus,Chenopodium album,Nahrung (Samen),wichtiger Samenlieferant,
16,Passer domesticus,Clematis vitalba,Schutzgehölz,gutes Schutzgehölz (dichter Wuchs),
17,Passer domesticus,Cornus mas,"Nahrung (Beeren, Insekten)","wichtiger Früchtelieferant, gute Insektenquelle",
18,Passer domesticus,Cornus mas,Schutzgehölz,gutes Schutzgehölz (dichter Wuchs),
19,Passer domesticus,Cornus sanguinea,Nahrung (Beeren),,
20,Passer domesticus,Corydalis cava,Nahrung (Samen),hervorragende Insektenquelle,
21,Passer domesticus,Cotoneaster integerrimus,Nahrung (Beeren),,
22,Passer domesticus,Cotoneaster dielsianus,Schutzgehölz,Neophyt; sehr gutes Schutzgehölz (dichter Wuchs),
23,Passer domesticus,Crataegus monogyna,"Nahrung (Samen, Insekten)","hervorragende Insektenquelle, guter Beerenlieferant",
24,Passer domesticus,Crataegus monogyna,Schutzgehölz,gutes Schutzgehölz,
25,Passer domesticus,Crocus sp.,"Nahrung (Fruchtknoten, Insekten)",hervorragende Insektenquelle,
26,Passer domesticus,Digitaria sanguinalis,Nahrung (Samen),wichtiger Samenlieferant,
27,Passer domesticus,Echinochloa crus-gallis,Nahrung (Samen),wichtiger Samenlieferant,
28,Passer domesticus,Echinops ritro,"Nahrung (Samen, Insekten)",guter Samen- und Insektenlieferant,
29,Passer domesticus,Euonymus europaeus,Nahrung (Samen),,
30,Passer domesticus,Filipendula ulmaria,Nahrung (Samen),,
31,Passer domesticus,Fraxinus excelsior,Nahrung (Samen),,
32,Passer domesticus,Hedera helix,Schutzgehölz,sehr gutes Schutzgehölz (dichter Wuchs),
33,Passer domesticus,Helianthus annuus,Nahrung (Samen),Neophyt,
34,Passer domesticus,Jasminum nudiflorum,Schutzgehölz,Neophyt,
35,Passer domesticus,Ligustrum vulgare,"Nahrung (Beeren, Insekten)",guter Beerenlieferant,
36,Passer domesticus,Ligustrum vulgare,Schutzgehölz,sehr gutes Schutzgehölz (dichter Wuchs),
37,Passer domesticus,Lonicera caprifolium,Schutzgehölz,,
38,Passer domesticus,Mercurialis perennis,Nahrung (Samen),,
39,Passer domesticus,Oenothera biennis,"Nahrung (Samen, Insekten)",Neophyt,
40,Passer domesticus,Papaver sp.,Nahrung (Samen),,
41,Passer domesticus,Picea abies,Nahrung (Samen),,
42,Passer domesticus,Pinus sylvestris,Nahrung (Samen),,
43,Passer domesticus,Plantago sp.,Nahrung (Samen),,
44,Passer domesticus,Poa sp.,Nahrung (Samen),wichtiger Samenlieferant,
45,Passer domesticus,Polygonum aubertii,Schutzgehölz,invasiver Neophyt,
46,Passer domesticus,Polygonum aviculare,Nahrung (Samen),wichtiger Samenlieferant,
47,Passer domesticus,Polygonum persicaria,Nahrung (Samen),wichtiger Samenlieferant,
48,Passer domesticus,Populus tremula,"Nahrung (Samen, Insekten)",hervorragende Insektenquelle,
49,Passer domesticus,Primula vulgaris,"Nahrung (Fruchtknoten, Insekten)",hervorragende Insektenquelle,
50,Passer domesticus,Prunus avium,Nahrung (Beeren),,
51,Passer domesticus,Prunus domestica,"Nahrung (Knospen, junge Blätter, Blüten, Fruchtfleisch)",,
52,Passer domesticus,Prunus padus,"Nahrung (Beeren, Insekten)",,
53,Passer domesticus,Prunus sp.,"Nahrung (Knospen, junge Blätter, Blüten, Fruchtfleisch)",,
54,Passer domesticus,Prunus spinosa,"Nahrung (Beeren, Insekten)",hervorragende Insektenquelle,
55,Passer domesticus,Prunus spinosa,Schutzgehölz,,
56,Passer domesticus,Pulmonaria angustifolia,Nahrung (Insekten),hervorragende Insektenquelle,
57,Passer domesticus,Pyrus communis,"Nahrung (Knospen, junge Blätter, Blüten, Fruchtfleisch)",,
58,Passer domesticus,Ranunculus sp.,Nahrung (Samen),,
59,Passer domesticus,Rhamnus frangula,Nahrung (Beeren),,
60,Passer domesticus,Ribes rubrum,"Nahrung (Knospen, junge Blätter, Blüten)",im Frühjahr,
61,Passer domesticus,Ribes uva-crispa,"Nahrung (Knospen, junge Blätter, Blüten)",im Frühjahr,
62,Passer domesticus,Rosa canina,"Nahrung (Beeren, Insekten)",hohe Bedeutung als Schutzgehölz (Dornen),
63,Passer domesticus,Rosa canina,Schutzgehölz,,
64,Passer domesticus,Rubus fruticosus,Nahrung (Samen),,
65,Passer domesticus,Rubus henryi,Schutzgehölz,Neophyt,
66,Passer domesticus,Rubus idaeus,Nahrung (Samen),,
67,Passer domesticus,Rumex acetosa,Nahrung (Samen),,
68,Passer domesticus,Salix caprea,Nahrung (Insekten),hervorragende Insektenquelle; geringe Bedeutung als Samenlieferant,
69,Passer domesticus,Salvia pratensis,Nahrung (Samen),hervorragende Insektenquelle,
70,Passer domesticus,Sambucus nigra,"Nahrung (Beeren, Insekten)","wichtiger Beerenlieferant, gute Insektenquelle",
71,Passer domesticus,Sambucus racemosa,Nahrung (Samen),,
72,Passer domesticus,Sanguisorba officinalis,Nahrung (Samen),guter Samenlieferant; gute Insektenquelle,
73,Passer domesticus,Senecio sp.,Nahrung (Samen),,
74,Passer domesticus,Setaria sp. ,Nahrung (Samen),wichtiger Samenlieferant,
75,Passer domesticus,Scilla sp.,Nahrung (Fruchtknoten),Neophyt,
76,Passer domesticus,Sinapis arvensis,Nahrung (Samen),,
77,Passer domesticus,Sonchus oleraceus,Nahrung (Samen),,
78,Passer domesticus,Sorbus aria ,Nahrung (Beeren),,
79,Passer domesticus,Sorbus aucuparia,"Nahrung (Beeren, Insekten)",,
80,Passer domesticus,Stellaria media,"Nahrung (Samen, Pflanzenteile)",wichtiger Samenlieferant,
81,Passer domesticus,Taraxacum officinale,"Nahrung (Samen, Pflanzenteile, Insekten)",wichtiger Samenlieferant; gute Insektenquelle,
82,Passer domesticus,Ulmus glabra,Nahrung (Samen),,
83,Passer domesticus,Urtica dioica,"Nahrung (Samen, Insekten)",hervorragende Insektenquelle; guter Samenlieferant,
84,Passer domesticus,Urtica urens,"Nahrung (Samen, Insekten)",hervorragende Insektenquelle; guter Samenlieferant,
85,Passer domesticus,Vaccinium myrtillus,Nahrung (Samen),,
86,Passer domesticus,Verbascum sp.,"Nahrung (Samen, Insekten)",gute Insektenquelle; geringe Bedeutung als Samenlieferant,
87,Passer domesticus,Viburnum lantana,Nahrung (Beeren),,
88,Passer domesticus,Vitis vinifera,Nahrung (Beeren),,
